family,scope,valid_actions,before_rmse_active11,after_rmse_active11,improvement_fraction,before_yaw_rmse,after_yaw_rmse,before_torso_rmse,after_torso_rmse
all,first_action,85,0.39953306126673316,0.2925851237412995,0.26768232192437735,0.3124658208670295,0.2379211409312367,0.4494970841002425,0.30115222372502265
all,valid_chunk,611,0.37979509666836686,0.2696114351827608,0.29011343867300443,0.21722381301041516,0.1568737473737686,0.446977529179816,0.3188851448733404
reach,first_action,34,0.48000575095256615,0.36620658003582285,0.2370787656000164,0.48438109794407197,0.37084861194409535,0.5106348712852501,0.3366865261029228
reach,valid_chunk,250,0.4895650591411004,0.359374731720756,0.26593059490142545,0.3301719018991098,0.23823979341059104,0.5637375698309203,0.4038333042118518
grasp,first_action,8,0.5569556780299452,0.42304613886823683,0.24043123078549278,0.16684759749794104,0.10115904786163335,0.6418850295916557,0.40402219779716686
grasp,valid_chunk,21,0.5732357459679941,0.4039822891398925,0.29525977404338577,0.19074325366395428,0.15468887554035216,0.676113757232149,0.347740582346079
move,first_action,43,0.27504257464535997,0.17287739600772817,0.3714522334200937,0.047984731821990895,0.035341886871465555,0.3414226822571802,0.24346524482959805
move,valid_chunk,340,0.25037739943030907,0.15995407646116483,0.3611481035224706,0.048910032397235244,0.03182097274571378,0.3116431169940299,0.23528129786104773
