seed,channel,name,deployed_applied,sac_applied,sample_mean,sample_median,sample_std,sample_q05,sample_q95,sac_in_central_90pct,sac_sign_eligible,same_sign_as_sac_fraction,confidently_opposed_to_sac,raw_out_of_bounds_fraction
2024,0,shoulder_pan,0.6599128842353821,0.042699042707681656,0.6064809982199222,0.5883939862251282,0.2586125145450836,0.2964547472074628,1.0,False,False,1.0,False,0.125
2024,1,shoulder_lift,0.6464234590530396,-0.7376006841659546,0.4683820502832532,0.4885474294424057,0.3442608460862502,-0.12736129201948643,1.0,False,True,0.125,False,0.125
2024,2,upperarm_roll,0.34779849648475647,0.7607436776161194,0.6873574495839421,0.7940214276313782,0.2798044015819993,0.2629778372356668,1.0,True,True,1.0,False,0.125
2024,3,elbow_flex,-0.9879150390625,-0.994903028011322,-0.9156385511159897,-0.9150437712669373,0.08478581242184044,-1.0,-0.7366236001253128,True,True,1.0,False,0.1875
2024,4,forearm_roll,-1.0,-0.9858454465866089,-0.8096046727150679,-0.9277636706829071,0.27264170610952254,-1.0,-0.20244303345680237,True,True,1.0,False,0.3125
2024,5,wrist_flex,-0.9062188863754272,-0.9956992864608765,-0.8921879008412361,-0.8964482247829437,0.06263788516476336,-0.983283132314682,-0.8008244782686234,False,True,1.0,False,0.0625
2024,6,wrist_roll,-0.32100966572761536,-0.9742653965950012,0.11729850224219263,0.17241310141980648,0.5827245550245986,-0.6311023980379105,0.8172313272953033,False,True,0.4375,False,0.0
2024,7,gripper,0.9405817985534668,0.9973740577697754,0.9686642363667488,0.9649133086204529,0.030545364809470905,0.921972319483757,1.0,True,True,1.0,False,0.375
2024,10,torso_lift,0.9494503736495972,0.9960185885429382,0.9856617227196693,1.0,0.021032640464449085,0.950790748000145,1.0,True,True,1.0,False,0.625
2024,11,base_forward,1.0,0.9967049956321716,0.915542732924223,0.9308715760707855,0.07930278728206193,0.780198946595192,1.0,True,True,1.0,False,0.125
2024,12,base_yaw,0.1515025794506073,-0.995415985584259,0.14782246784307063,0.1637003794312477,0.16029890044680395,-0.05288626439869404,0.398556150496006,False,True,0.25,False,0.0
2025,0,shoulder_pan,0.9884327054023743,-0.8021923303604126,0.21873933775350451,0.4706006199121475,0.6562839177779459,-0.7866749912500381,0.9854569733142853,False,True,0.375,False,0.0625
2025,1,shoulder_lift,0.6424223184585571,-0.4998084306716919,0.36959462612867355,0.2851027399301529,0.46658979633678127,-0.380556657910347,0.9078105092048645,False,True,0.125,False,0.0625
2025,2,upperarm_roll,0.5088759064674377,-0.823482871055603,0.34326264982519206,0.46170541644096375,0.4722901861995297,-0.3418749738484621,0.8420340716838837,False,True,0.1875,False,0.125
2025,3,elbow_flex,-0.9379774928092957,-0.9888394474983215,-0.8781347461044788,-0.8735329806804657,0.09086327212638373,-1.0,-0.7353742271661758,True,True,1.0,False,0.125
2025,4,forearm_roll,-0.9835125207901001,-0.9789900779724121,-0.865297619253397,-0.8993765413761139,0.14771024449841194,-1.0,-0.6356899291276932,True,True,1.0,False,0.375
2025,5,wrist_flex,-0.9559844732284546,-0.9890243411064148,-0.9204882904887199,-0.95719975233078,0.09197391641464964,-1.0,-0.767628625035286,True,True,1.0,False,0.1875
2025,6,wrist_roll,0.22235512733459473,-0.9610357284545898,-0.23867342807352543,-0.3578048646450043,0.37179102008681747,-0.6274193674325943,0.36980266869068146,False,True,0.6875,False,0.0
2025,7,gripper,0.961959183216095,0.9939918518066406,0.9548585265874863,0.960875928401947,0.04070775994622762,0.896178811788559,1.0,True,True,1.0,False,0.25
2025,10,torso_lift,1.0,0.9950703382492065,0.9428826831281185,0.9991703629493713,0.10534584343113777,0.783502459526062,1.0,True,True,1.0,False,0.4375
2025,11,base_forward,0.8835121393203735,0.9932500720024109,0.8993610180914402,0.9326335191726685,0.12069231117756543,0.6465141922235489,1.0,True,True,1.0,False,0.1875
2025,12,base_yaw,0.1986815333366394,-0.9984836578369141,0.10068240005057305,0.14550194889307022,0.35650244366492984,-0.6496732532978058,0.4527399316430092,False,True,0.125,False,0.0
2026,0,shoulder_pan,-0.11893663555383682,0.594204306602478,0.4959781588986516,0.48125071823596954,0.3978621956357258,-0.16296199895441532,0.9789771139621735,True,True,0.8125,False,0.0625
2026,1,shoulder_lift,-0.03587343916296959,0.48860424757003784,0.35815776395611465,0.4367606192827225,0.45768981686389665,-0.3266028165817261,0.8895840644836426,True,True,0.75,False,0.0
2026,2,upperarm_roll,1.0,0.4150560200214386,0.6654893257655203,0.7745217382907867,0.34290039799637156,-0.029519731178879738,1.0,True,True,0.9375,False,0.1875
2026,3,elbow_flex,-0.6665323972702026,-0.9923914670944214,-0.9287698864936829,-0.9641737639904022,0.10008029184165719,-1.0,-0.7110210210084915,True,True,1.0,False,0.375
2026,4,forearm_roll,-0.8538201451301575,-0.9815594553947449,-0.8560092449188232,-0.8978183269500732,0.20007053706685468,-1.0,-0.47352007031440735,True,True,1.0,False,0.375
2026,5,wrist_flex,-0.8573249578475952,-0.9934525489807129,-0.9336808919906616,-0.9538719952106476,0.07103679655750196,-1.0,-0.8288287669420242,True,True,1.0,False,0.1875
2026,6,wrist_roll,0.22423724830150604,-0.879865825176239,-0.15341093018651009,-0.1458454504609108,0.514408500180897,-0.7981075793504715,0.5844787657260895,False,True,0.5625,False,0.0
2026,7,gripper,0.8447785377502441,0.9955922365188599,0.9595806077122688,0.9845970273017883,0.05318044686282479,0.865791529417038,1.0,True,True,1.0,False,0.375
2026,10,torso_lift,0.9012469053268433,0.9916600584983826,0.9504992328584194,1.0,0.1024284983186053,0.7735733687877655,1.0,True,True,1.0,False,0.6875
2026,11,base_forward,1.0,0.9829475283622742,0.9331060759723186,0.9389771819114685,0.06925512776639411,0.8254868239164352,1.0,True,True,1.0,False,0.375
2026,12,base_yaw,0.1280219852924347,0.5288767218589783,0.15204247209476307,0.13890763372182846,0.13751008247329544,-0.05178504716604948,0.3242960348725319,False,True,0.875,False,0.0
2027,0,shoulder_pan,0.8497757315635681,-0.9268379807472229,-0.01531039853580296,-0.07050070725381374,0.5951574118468765,-0.884916290640831,0.7967133522033691,False,True,0.5625,False,0.0
2027,1,shoulder_lift,0.5226250886917114,-0.9713133573532104,0.6504798894748092,0.7361985146999359,0.34359415981943786,0.07247374579310417,1.0,False,True,0.0625,True,0.125
2027,2,upperarm_roll,1.0,-0.9790898561477661,0.5988519385573454,0.7439283132553101,0.42826692752878986,-0.12737161479890347,1.0,False,True,0.125,False,0.1875
2027,3,elbow_flex,-0.7375814318656921,-0.9882522225379944,-0.8896051831543446,-0.8678301870822906,0.07741768233940145,-1.0,-0.7823141813278198,True,True,1.0,False,0.125
2027,4,forearm_roll,-0.5356854200363159,-0.9781768321990967,-0.8512158840894699,-0.9887278378009796,0.21981669606120938,-1.0,-0.4325570613145828,True,True,1.0,False,0.4375
2027,5,wrist_flex,-0.8584449887275696,-0.9870975017547607,-0.9008261598646641,-0.9133115410804749,0.07255603412620369,-1.0,-0.7989853620529175,True,True,1.0,False,0.125
2027,6,wrist_roll,0.7565450668334961,-0.9613789916038513,-0.3003992415033281,-0.32885830104351044,0.5397084532454253,-0.9880157560110092,0.500351257622242,True,True,0.6875,False,0.0625
2027,7,gripper,0.9829006791114807,0.9927416443824768,0.9662734605371952,0.9653015732765198,0.029077443976735826,0.9208494871854782,1.0,True,True,1.0,False,0.1875
2027,10,torso_lift,0.9580006003379822,0.993742823600769,0.8305549756623805,0.9612205326557159,0.2978321525703816,0.1485495436936617,1.0,True,True,1.0,False,0.375
2027,11,base_forward,0.95537269115448,0.9943006634712219,0.861228670924902,0.9403584897518158,0.1839783114216403,0.537982702255249,1.0,True,True,1.0,False,0.375
2027,12,base_yaw,0.1142985001206398,-0.9984375238418579,0.1717489322181791,0.1996999830007553,0.15305642727442428,-0.02443923894315958,0.34639114141464233,False,True,0.0625,True,0.0
2028,0,shoulder_pan,0.7706998586654663,0.6240400671958923,0.533058806322515,0.4816398322582245,0.31553955338584155,0.14274407550692558,0.9416661560535431,True,True,0.9375,False,0.0625
2028,1,shoulder_lift,0.6712068319320679,0.8435685634613037,0.554034803994,0.6486015617847443,0.33677161700244956,-0.09000710397958755,0.9707145243883133,True,True,0.875,False,0.0625
2028,2,upperarm_roll,0.7252678871154785,0.0740230530500412,0.74050831515342,0.7478689253330231,0.21905557263689795,0.35271910205483437,0.9833974838256836,False,False,1.0,False,0.0625
2028,3,elbow_flex,-0.8087043762207031,-0.9889247417449951,-0.833833247423172,-0.8674313724040985,0.13984957027486208,-0.9678883254528046,-0.6497214585542679,False,True,1.0,False,0.0
2028,4,forearm_roll,-1.0,-0.9755110144615173,-0.9297524355351925,-0.9762828648090363,0.09110700912021806,-1.0,-0.7777674347162247,True,True,1.0,False,0.375
2028,5,wrist_flex,-0.9088866710662842,-0.9817778468132019,-0.9091811068356037,-0.9103270769119263,0.06905127837671687,-1.0,-0.8125667870044708,True,True,1.0,False,0.25
2028,6,wrist_roll,-1.0,-0.8565562963485718,-0.36934741376899183,-0.4650215059518814,0.4627052076103824,-0.9683332592248917,0.40091821551322937,True,True,0.75,False,0.0625
2028,7,gripper,1.0,0.9925814270973206,0.9732409529387951,0.9873587489128113,0.028817996031376625,0.9197030663490295,1.0,True,True,1.0,False,0.25
2028,10,torso_lift,0.5085753798484802,0.9961417317390442,0.7785496227443218,0.922791600227356,0.45802284348646793,0.1701028048992157,1.0,True,True,0.9375,False,0.375
2028,11,base_forward,0.5422078967094421,0.9414510130882263,0.9309517443180084,0.9672433733940125,0.11155200332492586,0.7668706625699997,1.0,True,True,1.0,False,0.3125
2028,12,base_yaw,0.05703417956829071,0.9020016193389893,0.17465384770184755,0.16872905939817429,0.1326208948593987,0.02108810469508171,0.38927211612463,False,True,0.9375,False,0.0
