scope,predicted_channel,predicted_name,expert_channel,expert_name,pearson
first_action,7,gripper,1,shoulder_lift,0.8397298130175789
first_action,7,gripper,2,upperarm_roll,-0.4332509542438834
first_action,7,gripper,3,elbow_flex,-0.8345593764256213
first_action,7,gripper,4,forearm_roll,-0.7148563389924629
first_action,7,gripper,5,wrist_flex,-0.8929722033614604
first_action,7,gripper,6,wrist_roll,-0.2470268504224133
first_action,7,gripper,7,gripper,0.9052644797787565
first_action,7,gripper,8,head_pan,
first_action,7,gripper,9,head_tilt,
first_action,7,gripper,10,torso_lift,0.2591665344114382
first_action,7,gripper,11,base_forward,0.7207881555023987
first_action,7,gripper,12,base_yaw,0.012762371908172957
first_action,8,head_pan,0,shoulder_pan,
first_action,8,head_pan,1,shoulder_lift,
first_action,8,head_pan,2,upperarm_roll,
first_action,8,head_pan,3,elbow_flex,
first_action,8,head_pan,4,forearm_roll,
first_action,8,head_pan,5,wrist_flex,
first_action,8,head_pan,6,wrist_roll,
first_action,8,head_pan,7,gripper,
first_action,8,head_pan,8,head_pan,
first_action,8,head_pan,9,head_tilt,
first_action,8,head_pan,10,torso_lift,
first_action,8,head_pan,11,base_forward,
first_action,8,head_pan,12,base_yaw,
first_action,9,head_tilt,0,shoulder_pan,
first_action,9,head_tilt,1,shoulder_lift,
first_action,9,head_tilt,2,upperarm_roll,
first_action,9,head_tilt,3,elbow_flex,
first_action,9,head_tilt,4,forearm_roll,
first_action,9,head_tilt,5,wrist_flex,
first_action,9,head_tilt,6,wrist_roll,
first_action,9,head_tilt,7,gripper,
first_action,9,head_tilt,8,head_pan,
first_action,9,head_tilt,9,head_tilt,
first_action,9,head_tilt,10,torso_lift,
first_action,9,head_tilt,11,base_forward,
first_action,9,head_tilt,12,base_yaw,
first_action,10,torso_lift,0,shoulder_pan,0.0687991011193083
first_action,10,torso_lift,1,shoulder_lift,0.306409406770642
first_action,10,torso_lift,2,upperarm_roll,-0.17655886959814945
first_action,10,torso_lift,3,elbow_flex,-0.4609991561816369
first_action,10,torso_lift,4,forearm_roll,-0.5302434469151228
first_action,10,torso_lift,5,wrist_flex,-0.43112183467494813
first_action,10,torso_lift,6,wrist_roll,-0.06539857474205461
first_action,10,torso_lift,7,gripper,0.4023843063894501
first_action,10,torso_lift,8,head_pan,
first_action,10,torso_lift,9,head_tilt,
first_action,10,torso_lift,10,torso_lift,0.5772175011790668
first_action,10,torso_lift,11,base_forward,0.3872996777158937
first_action,10,torso_lift,12,base_yaw,-0.06496326654890569
first_action,11,base_forward,0,shoulder_pan,0.08786642115904635
first_action,11,base_forward,1,shoulder_lift,0.7638705659885479
first_action,11,base_forward,2,upperarm_roll,-0.4259491591753227
first_action,11,base_forward,3,elbow_flex,-0.8243138674168087
first_action,11,base_forward,4,forearm_roll,-0.7619006107832994
first_action,11,base_forward,5,wrist_flex,-0.863921727207065
first_action,11,base_forward,6,wrist_roll,-0.19420689270929412
first_action,11,base_forward,7,gripper,0.8336186488300739
first_action,11,base_forward,8,head_pan,
first_action,11,base_forward,9,head_tilt,
first_action,11,base_forward,10,torso_lift,0.29208176357698323
first_action,11,base_forward,11,base_forward,0.7969399187311185
first_action,11,base_forward,12,base_yaw,0.05164482591678789
first_action,12,base_yaw,0,shoulder_pan,0.09223950618554001
first_action,12,base_yaw,1,shoulder_lift,0.37451265785840426
first_action,12,base_yaw,2,upperarm_roll,-0.03052335457598666
first_action,12,base_yaw,3,elbow_flex,-0.5669306010710468
first_action,12,base_yaw,4,forearm_roll,-0.5413986535396901
first_action,12,base_yaw,5,wrist_flex,-0.49350790372885606
first_action,12,base_yaw,6,wrist_roll,-0.1757933679440412
first_action,12,base_yaw,7,gripper,0.4602099737766927
first_action,12,base_yaw,8,head_pan,
first_action,12,base_yaw,9,head_tilt,
first_action,12,base_yaw,10,torso_lift,0.3810295369617831
first_action,12,base_yaw,11,base_forward,0.4830630245114257
first_action,12,base_yaw,12,base_yaw,0.28272190332112984
valid_chunk,0,shoulder_pan,0,shoulder_pan,0.5874121058905591
valid_chunk,0,shoulder_pan,1,shoulder_lift,0.27308234073119386
valid_chunk,0,shoulder_pan,2,upperarm_roll,-0.038420295167899056
valid_chunk,0,shoulder_pan,3,elbow_flex,-0.4082751971873469
valid_chunk,0,shoulder_pan,4,forearm_roll,-0.4028898687845067
valid_chunk,0,shoulder_pan,5,wrist_flex,-0.3593892644422539
valid_chunk,0,shoulder_pan,6,wrist_roll,-0.07744063964558441
valid_chunk,0,shoulder_pan,7,gripper,0.2781884992427514
valid_chunk,0,shoulder_pan,8,head_pan,
valid_chunk,0,shoulder_pan,9,head_tilt,
valid_chunk,0,shoulder_pan,10,torso_lift,0.33994465754943237
valid_chunk,0,shoulder_pan,11,base_forward,0.19354688932102862
valid_chunk,0,shoulder_pan,12,base_yaw,0.07925164968267016
valid_chunk,1,shoulder_lift,0,shoulder_pan,0.2525899190330444
valid_chunk,1,shoulder_lift,1,shoulder_lift,0.8602658840112704
valid_chunk,1,shoulder_lift,2,upperarm_roll,-0.3250735327282439
valid_chunk,1,shoulder_lift,3,elbow_flex,-0.8658990500608142
valid_chunk,1,shoulder_lift,4,forearm_roll,-0.7117217009208997
valid_chunk,1,shoulder_lift,5,wrist_flex,-0.9364950958851619
valid_chunk,1,shoulder_lift,6,wrist_roll,-0.4000439864834843
valid_chunk,1,shoulder_lift,7,gripper,0.9457190502421398
valid_chunk,1,shoulder_lift,8,head_pan,
valid_chunk,1,shoulder_lift,9,head_tilt,
valid_chunk,1,shoulder_lift,10,torso_lift,0.2383638486623707
valid_chunk,1,shoulder_lift,11,base_forward,0.7407587185755202
valid_chunk,1,shoulder_lift,12,base_yaw,0.24185456099144215
valid_chunk,2,upperarm_roll,0,shoulder_pan,-0.015011770492276656
valid_chunk,2,upperarm_roll,1,shoulder_lift,-0.2502643305529768
valid_chunk,2,upperarm_roll,2,upperarm_roll,0.743863920617335
valid_chunk,2,upperarm_roll,3,elbow_flex,0.4413013069622552
valid_chunk,2,upperarm_roll,4,forearm_roll,0.41349609002783283
valid_chunk,2,upperarm_roll,5,wrist_flex,0.316614187701642
valid_chunk,2,upperarm_roll,6,wrist_roll,-0.07019482142396931
valid_chunk,2,upperarm_roll,7,gripper,-0.21133085214616837
valid_chunk,2,upperarm_roll,8,head_pan,
valid_chunk,2,upperarm_roll,9,head_tilt,
valid_chunk,2,upperarm_roll,10,torso_lift,0.17566759557706008
valid_chunk,2,upperarm_roll,11,base_forward,-0.21872955899111882
valid_chunk,2,upperarm_roll,12,base_yaw,0.07684972402713365
valid_chunk,3,elbow_flex,0,shoulder_pan,-0.2500350407287238
valid_chunk,3,elbow_flex,1,shoulder_lift,-0.8146756823882955
valid_chunk,3,elbow_flex,2,upperarm_roll,0.4378808394089956
valid_chunk,3,elbow_flex,3,elbow_flex,0.9673624108611335
valid_chunk,3,elbow_flex,4,forearm_roll,0.8355040083221407
valid_chunk,3,elbow_flex,5,wrist_flex,0.9443686025750202
valid_chunk,3,elbow_flex,6,wrist_roll,0.32967631800522335
valid_chunk,3,elbow_flex,7,gripper,-0.8812754172993909
valid_chunk,3,elbow_flex,8,head_pan,
valid_chunk,3,elbow_flex,9,head_tilt,
valid_chunk,3,elbow_flex,10,torso_lift,-0.21756013877746427
valid_chunk,3,elbow_flex,11,base_forward,-0.7538056949383826
valid_chunk,3,elbow_flex,12,base_yaw,-0.26736330682025755
valid_chunk,4,forearm_roll,0,shoulder_pan,-0.3090069587714521
valid_chunk,4,forearm_roll,1,shoulder_lift,-0.7648255014040943
valid_chunk,4,forearm_roll,2,upperarm_roll,0.46886812641000014
valid_chunk,4,forearm_roll,3,elbow_flex,0.9441203284144062
valid_chunk,4,forearm_roll,4,forearm_roll,0.8515912398791774
valid_chunk,4,forearm_roll,5,wrist_flex,0.9005143949884666
valid_chunk,4,forearm_roll,6,wrist_roll,0.2556837873958965
valid_chunk,4,forearm_roll,7,gripper,-0.8147516121305349
valid_chunk,4,forearm_roll,8,head_pan,
valid_chunk,4,forearm_roll,9,head_tilt,
valid_chunk,4,forearm_roll,10,torso_lift,-0.27770638722107166
valid_chunk,4,forearm_roll,11,base_forward,-0.7148563388486368
valid_chunk,4,forearm_roll,12,base_yaw,-0.23407326142793505
valid_chunk,5,wrist_flex,0,shoulder_pan,-0.2626177319149896
valid_chunk,5,wrist_flex,1,shoulder_lift,-0.866203850087371
valid_chunk,5,wrist_flex,2,upperarm_roll,0.3734379258715422
valid_chunk,5,wrist_flex,3,elbow_flex,0.9216030736776318
valid_chunk,5,wrist_flex,4,forearm_roll,0.7620907612641512
valid_chunk,5,wrist_flex,5,wrist_flex,0.9671130269814777
valid_chunk,5,wrist_flex,6,wrist_roll,0.41140696748273076
valid_chunk,5,wrist_flex,7,gripper,-0.9478185657707157
valid_chunk,5,wrist_flex,8,head_pan,
valid_chunk,5,wrist_flex,9,head_tilt,
valid_chunk,5,wrist_flex,10,torso_lift,-0.22737742615792492
valid_chunk,5,wrist_flex,11,base_forward,-0.7698593035819802
valid_chunk,5,wrist_flex,12,base_yaw,-0.26098347481520323
valid_chunk,6,wrist_roll,0,shoulder_pan,-0.15163948017636822
valid_chunk,6,wrist_roll,1,shoulder_lift,-0.569226519012056
valid_chunk,6,wrist_roll,2,upperarm_roll,-0.08322264402919091
valid_chunk,6,wrist_roll,3,elbow_flex,0.4861071997428085
valid_chunk,6,wrist_roll,4,forearm_roll,0.2975780656374606
valid_chunk,6,wrist_roll,5,wrist_flex,0.5989248002816479
valid_chunk,6,wrist_roll,6,wrist_roll,0.6378133124545214
valid_chunk,6,wrist_roll,7,gripper,-0.632238273279734
valid_chunk,6,wrist_roll,8,head_pan,
valid_chunk,6,wrist_roll,9,head_tilt,
valid_chunk,6,wrist_roll,10,torso_lift,-0.09946550606027037
valid_chunk,6,wrist_roll,11,base_forward,-0.460584479477244
valid_chunk,6,wrist_roll,12,base_yaw,-0.1973258261762567
valid_chunk,7,gripper,0,shoulder_pan,0.1870133685416293
valid_chunk,7,gripper,1,shoulder_lift,0.8743663975347017
valid_chunk,7,gripper,2,upperarm_roll,-0.31408690808615314
valid_chunk,7,gripper,3,elbow_flex,-0.8480054790343676
valid_chunk,7,gripper,4,forearm_roll,-0.6879973112490034
valid_chunk,7,gripper,5,wrist_flex,-0.9359332406073089
valid_chunk,7,gripper,6,wrist_roll,-0.4285695449234431
valid_chunk,7,gripper,7,gripper,0.9674625624907818
valid_chunk,7,gripper,8,head_pan,
valid_chunk,7,gripper,9,head_tilt,
valid_chunk,7,gripper,10,torso_lift,0.22287356826729404
valid_chunk,7,gripper,11,base_forward,0.7700341770981334
valid_chunk,7,gripper,12,base_yaw,0.2481878774754961
valid_chunk,8,head_pan,0,shoulder_pan,
valid_chunk,8,head_pan,1,shoulder_lift,
valid_chunk,8,head_pan,2,upperarm_roll,
valid_chunk,8,head_pan,3,elbow_flex,
valid_chunk,8,head_pan,4,forearm_roll,
valid_chunk,8,head_pan,5,wrist_flex,
valid_chunk,8,head_pan,6,wrist_roll,
valid_chunk,8,head_pan,7,gripper,
valid_chunk,8,head_pan,8,head_pan,
valid_chunk,8,head_pan,9,head_tilt,
