tool_family,channel,channel_name,unit,progress_bin,progress_center,n,physical_mae,physical_signed_error
reach,5,wrist_flex,rad_delta,2,0.25,7,0.0035409846476146217,0.0035409846476146217
reach,5,wrist_flex,rad_delta,4,0.45,7,0.006848322280815671,0.006848322280815671
reach,5,wrist_flex,rad_delta,5,0.55,4,0.005352477356791497,0.005352477356791497
reach,5,wrist_flex,rad_delta,6,0.65,1,0.0055797636508941595,0.0055797636508941595
reach,5,wrist_flex,rad_delta,7,0.75,6,0.0036044878264268215,0.0036044878264268215
reach,5,wrist_flex,rad_delta,9,0.95,11,0.019091273217716,0.011630156416107306
reach,6,wrist_roll,rad_delta,0,0.05,11,0.053973653904077684,0.048257829646833915
reach,6,wrist_roll,rad_delta,2,0.25,7,0.031264050111972856,0.014605322713032364
reach,6,wrist_roll,rad_delta,4,0.45,7,0.06436380222439766,-0.036774906303201405
reach,6,wrist_roll,rad_delta,5,0.55,4,0.03460358623415233,-0.03460358623415233
reach,6,wrist_roll,rad_delta,6,0.65,1,0.012318902090191847,0.012318902090191847
reach,6,wrist_roll,rad_delta,7,0.75,6,0.03867459480340282,0.03867459480340282
reach,6,wrist_roll,rad_delta,9,0.95,11,0.02665510391816497,-0.016624317546798426
reach,7,gripper,m_joint_target,0,0.05,11,0.0005185650830919083,-0.0004499288987029653
reach,7,gripper,m_joint_target,2,0.25,7,0.0006041838015828796,-0.0006041838015828796
reach,7,gripper,m_joint_target,4,0.45,7,0.0012591205537319159,-0.0012591205537319159
reach,7,gripper,m_joint_target,5,0.55,4,0.0008542616665363281,-0.000752718150615686
reach,7,gripper,m_joint_target,6,0.65,1,0.0009016044437885271,-0.0009016044437885271
reach,7,gripper,m_joint_target,7,0.75,6,0.0005101620405912379,-0.00048172719776630224
reach,7,gripper,m_joint_target,9,0.95,11,0.0007184476066719389,-0.0005221232365478167
reach,8,head_pan,rad_delta,0,0.05,11,0.0,0.0
reach,8,head_pan,rad_delta,2,0.25,7,0.0,0.0
reach,8,head_pan,rad_delta,4,0.45,7,0.0,0.0
reach,8,head_pan,rad_delta,5,0.55,4,0.0,0.0
reach,8,head_pan,rad_delta,6,0.65,1,0.0,0.0
reach,8,head_pan,rad_delta,7,0.75,6,0.0,0.0
reach,8,head_pan,rad_delta,9,0.95,11,0.0,0.0
reach,9,head_tilt,rad_delta,0,0.05,11,0.0,0.0
reach,9,head_tilt,rad_delta,2,0.25,7,0.0,0.0
reach,9,head_tilt,rad_delta,4,0.45,7,0.0,0.0
reach,9,head_tilt,rad_delta,5,0.55,4,0.0,0.0
reach,9,head_tilt,rad_delta,6,0.65,1,0.0,0.0
reach,9,head_tilt,rad_delta,7,0.75,6,0.0,0.0
reach,9,head_tilt,rad_delta,9,0.95,11,0.0,0.0
reach,10,torso_lift,m_delta,0,0.05,11,0.01026124368337068,-0.010101496191187337
reach,10,torso_lift,m_delta,2,0.25,7,0.04942912650959831,0.04506570207221169
reach,10,torso_lift,m_delta,4,0.45,7,0.03869901256901879,0.035507289000919866
reach,10,torso_lift,m_delta,5,0.55,4,0.022813532780855905,-0.022813532780855905
reach,10,torso_lift,m_delta,6,0.65,1,0.002376806735992429,0.002376806735992429
reach,10,torso_lift,m_delta,7,0.75,6,0.07383577420065801,0.009533733998735737
reach,10,torso_lift,m_delta,9,0.95,11,0.04507788139480082,0.004749772257425574
reach,11,base_forward,m_per_s,0,0.05,11,0.1683107695796273,0.04484792731025002
reach,11,base_forward,m_per_s,2,0.25,7,0.31191908035959515,0.17573966724531992
reach,11,base_forward,m_per_s,4,0.45,7,0.2909150357757296,0.10848356357642583
reach,11,base_forward,m_per_s,5,0.55,4,0.021078351885080338,-0.021078351885080338
reach,11,base_forward,m_per_s,6,0.65,1,0.3138843923807144,-0.3138843923807144
reach,11,base_forward,m_per_s,7,0.75,6,0.3093702743450801,0.13690989712874094
reach,11,base_forward,m_per_s,9,0.95,11,0.15377329154448074,-0.12646727670322766
reach,12,base_yaw,rad_per_s,0,0.05,11,2.4243510114371953,1.6957992248474199
reach,12,base_yaw,rad_per_s,2,0.25,7,0.8231737355877912,0.34631610101787375
reach,12,base_yaw,rad_per_s,4,0.45,7,0.6308339203628046,-0.4009878699108958
reach,12,base_yaw,rad_per_s,5,0.55,4,0.5501960654946745,-0.28956195078964825
reach,12,base_yaw,rad_per_s,6,0.65,1,0.8305254542455078,0.8305254542455078
reach,12,base_yaw,rad_per_s,7,0.75,6,0.6539391747978517,0.43826888871146363
reach,12,base_yaw,rad_per_s,9,0.95,11,0.3672709179851649,-0.06773517420811742
