scope,channel,name,component,unit,lower,upper,stationary_head_masked,physical_n_targets,physical_samples_per_target,physical_expert_mean,physical_expert_std,physical_expert_min,physical_expert_max,physical_prediction_mean,physical_prediction_std,physical_bias,physical_mae,physical_rmse,physical_pearson,physical_normalized_rmse_by_expert_std,physical_expected_sample_rmse,physical_mean_stochastic_std,physical_zero_controller_rmse,physical_rmse_over_zero_controller,controller_applied_bias,controller_raw_bias,controller_applied_mae,controller_raw_mae,controller_applied_rmse,controller_raw_rmse,controller_applied_pearson,controller_raw_pearson,controller_applied_normalized_rmse_by_expert_std,controller_raw_normalized_rmse_by_expert_std,controller_applied_expected_sample_rmse,controller_raw_expected_sample_rmse,controller_applied_mean_stochastic_std,controller_raw_mean_stochastic_std,raw_out_of_bounds_fraction,wrapper_changed_fraction
first_action,0,shoulder_pan,arm,rad_delta,-0.1,0.1,False,128,4,-0.024527713617180782,0.06074649705685053,-0.09960798621177674,0.09827890396118164,-0.027631059487799804,0.041210135684990865,-0.003103345870619022,0.03923551260937188,0.05054680420116256,0.5678469331959034,0.8320941395823626,0.060019430132888026,0.032086026905961476,0.06551141610409887,0.7715724557204311,-0.03103345870619023,-0.0323361747956028,0.3923551260937188,0.3913864251204018,0.5054680420116255,0.5061376473809109,0.5678469331959034,0.5684811680359148,0.8320941395823627,0.8331964342030035,0.6001943013288802,0.6055955550795499,0.3208602690596148,0.32834558994630636,0.0546875,0.0546875
first_action,1,shoulder_lift,arm,rad_delta,-0.1,0.1,False,128,4,-0.04115248190064449,0.07859802715038607,-0.09958786964416505,0.09946895241737366,-0.03377154370127756,0.07500020824452118,0.007380938199366938,0.02365253091675186,0.042606133343528814,0.8517473224888598,0.5420763712301339,0.04767877275129898,0.01727837313265175,0.08871965192963562,0.4802333239237699,0.07380938199366938,0.06684255874733935,0.23652530916751857,0.23919335695700283,0.4260613334352881,0.4296208059499957,0.8517473224888591,0.850059356558718,0.5420763712301339,0.5466050758856553,0.47678772751298987,0.48453295331796264,0.1727837313265175,0.18890618798785,0.201171875,0.201171875
first_action,2,upperarm_roll,arm,rad_delta,-0.1,0.1,False,128,4,0.04135565403848887,0.07217370964801463,-0.09949518442153932,0.09936786890029908,0.04991035112607278,0.04957973494420701,0.008554697087583918,0.03563511330039546,0.05548116410176497,0.6514473613908951,0.7687170906461943,0.06206689086003887,0.02377347752477731,0.08318253714156054,0.6669809073910163,0.08554697087583918,0.10152058307630796,0.3563511330039546,0.362986910350628,0.5548116410176497,0.5611908911542163,0.6514473613908954,0.6481381712802282,0.7687170906461943,0.7775558356236628,0.6206689086003888,0.6318376416352702,0.2377347752477731,0.26104832413696644,0.203125,0.203125
first_action,3,elbow_flex,arm,rad_delta,-0.1,0.1,False,128,4,0.009768552142850238,0.08743360631701277,-0.09985418915748596,0.0994403064250946,0.013305050391659277,0.07959942615141445,0.00353649824880904,0.0169889688432022,0.03144167781048623,0.9342857796049047,0.35960632455770414,0.037132429397454564,0.014052822287256735,0.08797761149614122,0.357382716759312,0.03536498248809039,0.046486292548934216,0.169889688432022,0.17234592963200157,0.31441677810486224,0.3182102175878726,0.9342857796049053,0.9329883995974071,0.3596063245577041,0.363944976070323,0.3713242939745456,0.3866442322573335,0.14052822287256733,0.17232387136464838,0.27734375,0.27734375
first_action,4,forearm_roll,arm,rad_delta,-0.1,0.1,False,128,4,0.026783901218732354,0.0813304191540744,-0.09930652379989624,0.0998683214187622,0.022413760083418312,0.0709073825657177,-0.004370141135314043,0.02099900485291073,0.03184505408881075,0.9231506118996078,0.391551579593887,0.039315225725307636,0.020646080952105825,0.0856271828584372,0.37190355942759973,-0.04370141135314043,-0.027368613647013262,0.2099900485291073,0.20747229408425483,0.3184505408881074,0.3171181701373024,0.9231506118996077,0.9215562867326013,0.3915515795938869,0.389913360137178,0.39315225725307634,0.40054681870074826,0.20646080952105825,0.2358653164089571,0.248046875,0.248046875
first_action,5,wrist_flex,arm,rad_delta,-0.1,0.1,False,128,4,0.01168675932531187,0.09271635145441576,-0.0998796820640564,0.09997844099998474,0.015209367275747357,0.08408799054886504,0.003522607950435486,0.01658013995838701,0.03310235961333668,0.9352959267211761,0.3570282813556522,0.03751529958654824,0.013299556610842719,0.09344999823727396,0.35422536369972124,0.03522607950435486,0.044571795835508965,0.16580139958387008,0.1630788186666905,0.33102359613336674,0.32895582908536547,0.9352959267211763,0.9361807498143541,0.3570282813556522,0.35479807382961737,0.3751529958654824,0.3810743444508551,0.13299556610842717,0.15964964659445718,0.3125,0.3125
first_action,6,wrist_roll,arm,rad_delta,-0.1,0.1,False,128,4,-0.022633106989269437,0.053893167271684604,-0.09828999042510987,0.09390888214111329,-0.012109019343961337,0.03990934780597891,0.0105240876453081,0.03527273123559098,0.044929798879993564,0.601927089269482,0.8336826569033292,0.056427415915149645,0.03430289968926375,0.05845281011689253,0.7686507935229123,0.105240876453081,0.1049037323259654,0.3527273123559098,0.3530644564830254,0.4492979887999356,0.44952551279988223,0.601927089269482,0.6015031681919418,0.8336826569033291,0.8341048328700887,0.5642741591514964,0.5645810619530266,0.34302899689263744,0.34355521792441435,0.005859375,0.005859375
first_action,7,gripper,gripper,m_joint_target,-0.01,0.05,False,128,4,0.01770322874072008,0.027219927000888832,-0.009932504892349243,0.04998604536056519,0.016954904708818507,0.024995731620959045,-0.0007483240319015739,0.005864193414909095,0.011593951763705177,0.9052644797787565,0.42593618136178657,0.013064912038364473,0.0044539477343724905,0.02731665397063065,0.42442796164458324,-0.024944134396719164,-0.024577948837759322,0.1954731138303032,0.19640280682324374,0.38646505879017257,0.3874005761011053,0.9052644797787565,0.9050145217721137,0.4259361813617866,0.42696724655630625,0.4354970679454824,0.43803352413882407,0.14846492447908302,0.15935336156618282,0.19921875,0.19921875
first_action,8,head_pan,head,rad_delta,-0.1,0.1,True,128,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,-1.3249535498697368e-09,0.0,1.3437970247784283e-08,0.0,1.7794754717041503e-08,,,,,0.0,2.949299930907976e-08,0.0,2.5106333096190713e-08,0.0,1.0
first_action,9,head_tilt,head,rad_delta,-0.1,0.1,True,128,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,-2.9645443878122753e-09,0.0,1.2453774870712297e-08,0.0,1.5854118086669015e-08,,,,,0.0,2.745951055843354e-08,0.0,2.316451013044979e-08,0.0,1.0
